Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Sai Life Sciences","https://scanx.trade/company/sai-life-sciences-ltd","871.85","-0.94%","880.00","97,788","18,416.00","74.67","25.43","943.00","636.10","-2.90%","5.90%","14.02%","14.02%","14.02%","8.57","-","-","12.52%","-","870.15","768.07","51.14","65.00%","70.00%"
"Bikaji Foods International","https://scanx.trade/company/bikaji-foods-international-ltd","734.20","-0.01%","734.80","92,152","18,399.80","94.22","19.84","929.00","558.80","-6.87%","-2.05%","-19.04%","131.28%","131.28%","13.28","0.14%","13.30%","16.94%","11.29","759.47","720.54","44.24","60.00%","75.00%"
"RBL Bank","https://scanx.trade/company/rbl-bank-ltd","299.50","-2.36%","305.00","1,15,26,677","18,360.00","31.66","13.73","307.85","146.10","13.28%","11.60%","47.94%","135.73%","67.46%","1.17","0.33%","8.49%","5.64%","21.30","270.65","214.43","67.76","57.29%","80.00%"
"EID Parry","https://scanx.trade/company/eid-parry-ltd","1,022.20","-0.91%","1,032.30","1,19,682","18,348.20","9.04","20.40","1,246.80","639.00","-6.72%","-11.19%","26.73%","66.05%","286.39%","2.29","-","14.43%","20.21%","49.62","1,093.13","946.83","37.32","68.09%","80.00%"
"Alembic Pharmaceuticals","https://scanx.trade/company/alembic-pharmaceuticals-ltd","938.60","0.56%","933.40","50,349","18,347.20","30.66","55.26","1,197.70","725.20","-4.04%","-9.40%","-20.82%","64.36%","-3.50%","3.55","1.17%","12.78%","14.66%","32.05","943.12","935.68","52.09","67.21%","80.00%"
"Travel Food Services","https://scanx.trade/company/travel-food-servicesltd","1,362.90","-1.74%","1,383.30","55,230","18,263.90","47.24","327.73","1,435.00","1,008.50","9.42%","23.70%","26.80%","26.80%","26.80%","17.02","0.62%","-","42.28%","-","1,269.13","-","57.68","-","75.00%"
"Amara Raja Energy & Mobility","https://scanx.trade/company/amara-raja-energy-mobility-ltd","994.55","-0.21%","995.00","2,52,738","18,241.20","21.15","79.58","1,422.00","832.30","-3.55%","1.17%","-27.34%","64.62%","64.62%","2.46","1.06%","13.74%","16.77%","53.17","996.18","1,010.87","46.62","90.00%","80.00%"
"Aditya Birla Real Estate","https://scanx.trade/company/century-textile-and-industries-ltd","1,632.60","0.03%","1,632.10","73,899","18,229.90","-90.28","0.52","3,140.00","1,562.60","-15.46%","-24.68%","-42.84%","-39.21%","-39.21%","4.75","0.12%","7.45%","-1.54%","21.24","1,769.45","2,010.15","37.76","64.39%","80.00%"
"Deepak Fertilisers & Petrochemicals","https://scanx.trade/company/deepak-fertilisers-and-petrochemicals-ltd","1,445.00","0.27%","1,449.00","1,22,526","18,192.10","18.42","25.66","1,778.60","888.90","-1.24%","-9.99%","39.69%","49.56%","882.32%","2.92","0.69%","23.51%","16.65%","41.83","1,471.83","1,347.76","43.20","62.95%","80.00%"
"Gabriel","https://scanx.trade/company/gabriel-india-ltd","1,235.40","-2.43%","1,272.50","4,35,767","18,188.20","71.18","79.58","1,388.00","387.00","-5.80%","19.40%","184.42%","709.57%","1,208.69%","15.00","0.38%","17.84%","26.70%","13.53","1,211.51","768.02","48.35","36.00%","75.00%"
"UTI AMC","https://scanx.trade/company/uti-asset-management-company-ltd","1,401.80","1.69%","1,380.00","2,78,147","17,970.00","22.70","24.21","1,494.80","905.00","2.70%","-1.63%","7.46%","90.27%","182.54%","3.91","3.41%","16.13%","20.36%","61.66","1,343.48","1,198.95","63.33","67.69%","80.00%"
"Gujarat State Petronet","https://scanx.trade/company/gujarat-state-petronet-ltd","315.35","-0.19%","317.00","2,71,520","17,826.30","11.29","22.25","410.05","261.45","-1.10%","-6.09%","-20.18%","43.11%","68.41%","1.53","1.59%","18.46%","13.15%","29.39","308.72","318.35","50.38","69.42%","80.00%"
"Vinati Organics","https://scanx.trade/company/vinati-organics-ltd","1,695.10","-0.56%","1,705.20","11,569","17,670.80","41.29","25.66","2,085.00","1,412.50","-0.48%","-15.24%","-14.11%","-12.03%","31.85%","6.29","0.44%","20.65%","18.10%","32.57","1,704.78","1,728.98","46.87","71.27%","80.00%"
"Zensar Technologies","https://scanx.trade/company/zensar-technologies-ltd","782.70","1.00%","776.00","6,77,714","17,614.30","26.41","16.13","984.95","535.85","-6.40%","-5.79%","12.60%","265.07%","321.71%","4.37","1.66%","18.67%","20.39%","29.42","792.16","785.82","49.83","66.10%","80.00%"
"Carborundum Universal","https://scanx.trade/company/carborundum-universal-ltd","904.25","-1.34%","916.55","53,690","17,454.40","70.53","-261.83","1,530.90","809.10","-9.16%","-9.09%","-38.42%","2.82%","264.76%","4.89","0.44%","14.58%","12.27%","20.19","927.73","997.85","41.47","70.00%","80.00%"
"LMW","https://scanx.trade/company/lakshmi-machine-works-ltd","15,432.00","-0.05%","15,505.00","2,952","17,395.50","159.05","55.78","18,250.00","13,450.05","0.93%","-6.01%","-6.70%","-9.14%","-9.14%","5.90","0.20%","13.82%","5.04%","272.28","14,829.62","15,694.76","60.78","70.00%","75.00%"
"Nava","https://scanx.trade/company/nava-bharat-ventures-ltd","613.25","0.13%","620.00","1,60,591","17,332.40","12.83","24.88","735.00","356.05","-13.08%","-0.44%","20.54%","563.33%","2,245.12%","2.34","1.27%","15.09%","15.42%","64.33","658.42","531.82","31.08","62.51%","80.00%"
"ATUL","https://scanx.trade/company/atul-ltd","5,952.00","2.13%","5,850.00","3,17,127","17,158.70","31.00","25.66","8,097.00","4,752.00","-9.03%","-18.22%","-23.29%","-31.86%","1.98%","3.11","0.42%","6.28%","11.71%","112.61","6,284.20","6,451.49","40.83","70.29%","80.00%"
"Jubilant Pharmova","https://scanx.trade/company/jubilant-life-sciences-ltd","1,079.80","0.35%","1,076.00","67,055","17,138.70","37.61","58.93","1,309.90","802.00","-2.80%","-10.08%","-7.98%","233.37%","53.95%","2.75","0.46%","1.34%","11.53%","14.96","1,085.26","1,034.73","46.59","65.08%","80.00%"
"Dr. Agarwal's Health Care","https://scanx.trade/company/dr-agarwals-health-care-ltd","545.70","0.78%","541.50","5,07,732","17,120.00","132.79","33.16","568.00","327.00","24.29%","26.92%","35.86%","35.86%","35.86%","9.27","-","-","8.41%","-","464.25","-","72.49","65.00%","70.00%"
"TBO Tek","https://scanx.trade/company/tbo-tek-ltd","1,577.70","0.57%","1,552.50","85,252","17,034.20","73.87","42.20","1,845.55","996.00","-1.24%","10.73%","-8.05%","12.19%","12.19%","14.34","-","36.82%","21.62%","19.78","1,508.33","1,401.72","54.74","60.00%","65.00%"
"ACME Solar Holdings","https://scanx.trade/company/acme-solar-holdings-ltd","276.90","-1.32%","281.90","7,58,884","16,978.80","44.04","22.13","324.30","167.75","-9.98%","-0.59%","9.38%","9.38%","9.38%","3.71","0.07%","-","6.42%","-","288.61","243.23","41.93","60.00%","70.00%"
"Choice International","https://scanx.trade/company/choice-international-ltd","819.00","-0.44%","830.05","6,53,629","16,917.20","89.44","24.21","836.80","438.45","-0.57%","8.29%","70.63%","547.28%","987.51%","16.01","-","12.46%","20.17%","6.86","797.83","649.98","56.81","50.00%","60.00%"
"Afcons Infrastructure","https://scanx.trade/company/afcons-infrastructure-ltd","445.50","-2.98%","456.05","4,68,376","16,888.70","30.72","0.52","570.00","390.00","-1.86%","7.01%","-6.05%","-6.05%","-6.05%","3.11","0.56%","-","15.25%","-","441.26","447.38","45.68","60.00%","70.00%"
"Century Plyboards","https://scanx.trade/company/century-plyboards-ltd","751.40","-0.91%","758.30","41,487","16,847.40","81.40","22.25","901.10","631.00","-7.30%","3.28%","-14.56%","21.94%","335.72%","7.05","0.13%","20.10%","11.67%","12.61","775.53","756.43","40.61","69.54%","80.00%"
"JM Financial","https://scanx.trade/company/jm-financial-ltd","171.48","-2.09%","175.03","27,91,160","16,746.20","15.69","24.21","199.80","80.20","-2.54%","1.32%","9.96%","149.79%","126.08%","1.69","1.57%","0.25%","11.37%","12.12","176.30","135.40","47.77","63.58%","80.00%"
"Aditya Birla Lifestyle Brands","https://scanx.trade/company/aditya-birla-lifestyle-brands-ltd","136.43","-0.49%","137.00","5,39,995","16,730.20","278.37","45.55","175.00","129.50","-6.09%","-10.98%","-14.01%","-14.01%","-14.01%","6.67","-","-","12.54%","-","139.62","-","44.87","60.00%","-"
"Ventive Hospitality","https://scanx.trade/company/ventive-hospitality-ltd","730.10","2.43%","715.00","3,12,541","16,646.80","96.59","327.73","840.00","523.40","-3.73%","-9.54%","3.66%","3.66%","3.66%","3.55","-","-","5.99%","-","735.39","726.54","51.53","65.00%","-"
"Vedant Fashions","https://scanx.trade/company/vedanta-fashions-ltd","691.35","1.07%","684.50","1,77,596","16,619.50","41.68","45.55","1,512.00","668.70","-6.31%","-14.66%","-47.87%","-50.70%","-25.94%","10.99","1.16%","25.86%","27.76%","15.84","725.05","828.81","44.36","60.00%","75.00%"
"Triveni Turbines","https://scanx.trade/company/triveni-turbines-ltd","521.30","-0.19%","522.00","3,38,871","16,602.90","48.36","28.99","885.00","460.30","-3.49%","-19.94%","-32.53%","94.12%","641.54%","13.62","0.77%","25.33%","38.63%","9.07","524.65","577.05","43.07","50.00%","75.00%"
"Sobha","https://scanx.trade/company/sobha-ltd","1,525.80","-1.34%","1,539.10","1,34,460","16,535.80","159.56","0.52","1,825.00","1,075.30","-5.09%","-9.95%","-13.18%","147.08%","491.33%","3.58","0.20%","1.95%","5.96%","4.55","1,510.05","1,402.68","53.41","64.63%","80.00%"
"City Union Bank","https://scanx.trade/company/city-union-bank-ltd","219.29","-0.50%","219.95","6,84,435","16,332.00","13.93","13.73","232.55","142.91","7.83%","1.31%","43.03%","13.56%","46.44%","1.71","0.91%","12.09%","6.36%","14.22","208.91","188.27","58.35","69.87%","80.00%"
"Ircon International","https://scanx.trade/company/ircon-international-ltd","169.03","-2.37%","172.12","29,41,851","16,283.10","23.81","0.52","237.70","134.24","-9.62%","-10.93%","-24.46%","298.66%","348.59%","2.51","1.57%","14.65%","9.42%","10.27","172.70","178.74","41.88","60.50%","79.94%"
"Godawari Power & ISPAT","https://scanx.trade/company/godawari-power-ispat-ltd","249.60","2.78%","242.07","82,19,389","16,261.60","22.50","11.46","278.00","145.75","-5.67%","30.35%","32.98%","371.39%","1,299.10%","3.40","0.87%","20.10%","21.98%","72.91","238.08","199.40","54.29","60.00%","65.00%"
"Aditya Infotech","https://scanx.trade/company/aditya-infotech-ltd","1,397.10","0.90%","1,391.50","72,182","16,230.50","46.63","34.94","1,476.00","1,015.00","-4.59%","29.04%","29.04%","29.04%","29.04%","10.79","-","-","44.01%","-","1,308.03","-","55.16","-","70.00%"
"Craftsman Automation","https://scanx.trade/company/craftsman-automation-ltd","6,739.50","-0.90%","6,750.50","29,402","16,223.00","76.22","79.58","7,254.50","3,700.00","-0.91%","3.84%","10.40%","139.55%","369.46%","5.63","0.07%","19.26%","10.28%","118.71","6,773.29","5,509.09","52.62","66.99%","80.00%"
