Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Maan Aluminium","https://scanx.trade/company/maan-aluminium-ltd","131.81","0.80%","131.55","81,901","707.30","47.82","0.49","259.50","75.51","18.58%","10.97%","-44.28%","202.59%","1,482.35%","3.99","-","-","12.76%","-","113.44","108.49","68.56","-","-"
"Prakash Pipes","https://scanx.trade/company/prakash-pipes-ltd","294.25","-0.49%","296.30","25,063","707.30","10.36","35.39","610.00","288.00","-9.28%","-24.10%","-49.14%","75.41%","327.07%","1.59","0.81%","25.59%","26.08%","37.48","319.17","393.58","37.90","50.00%","-"
"Advance Agrolife","https://scanx.trade/company/advance-agrolife-ltd","108.86","-0.71%","111.50","1,68,312","704.80","27.10","-24.63","114.50","102.00","0.52%","0.52%","0.52%","0.52%","0.52%","2.37","-","-","34.87%","-","-","-","-","-","-"
"Visaka Industries","https://scanx.trade/company/visaka-industries-ltd","79.62","-1.84%","81.43","57,047","700.80","17.56","41.18","109.71","55.05","-6.42%","-6.93%","-24.49%","-24.54%","15.06%","0.92","0.63%","-","4.58%","-","83.13","78.94","44.30","-","-"
"GeeCee Ventures","https://scanx.trade/company/geecee-ventures-ltd","332.25","-0.34%","336.50","10,109","697.20","17.67","0.52","467.70","328.55","-13.26%","-11.98%","-17.23%","131.78%","422.41%","1.19","0.60%","2.06%","7.12%","20.26","364.32","385.27","38.25","50.00%","-"
"Glottis ","https://scanx.trade/company/glottis-ltd","71.51","-4.96%","75.75","10,66,430","695.20","11.78","22.25","93.00","73.42","-14.56%","-14.56%","-14.56%","-14.56%","-14.56%","2.56","-","-","75.41%","-","-","-","-","-","-"
"Sahasra Electronic Solutions","https://scanx.trade/company/sahasra-electronic-solutions-ltd","270.00","-2.76%","277.65","54,800","693.90","-287.23","44.09","1,013.00","227.50","-15.16%","-4.96%","-69.05%","-52.17%","-52.17%","3.05","-","-","2.12%","-","288.78","341.32","42.64","-","-"
"Kaya","https://scanx.trade/company/kaya-ltd","447.00","-1.98%","447.00","1,947","692.60","-20.42","22.25","487.90","204.43","2.42%","1.56%","1.69%","22.68%","105.71%","-10.49","-","-","-2.86%","-","433.90","343.93","51.16","-","-"
"Andhra Cements","https://scanx.trade/company/andhra-cements-ltd","74.64","-0.47%","77.95","10,534","691.20","-4.34","3.55","109.99","48.15","-23.88%","9.93%","-15.02%","29.58%","29.58%","4.75","-","-","-11.67%","-","83.25","69.39","31.16","-","-"
"Entertainment Network","https://scanx.trade/company/enil-entertainment-network-india-ltd","145.94","0.79%","144.99","11,779","690.20","57.33","13.36","212.10","121.00","-8.80%","-1.11%","-28.77%","-9.94%","4.77%","0.90","1.37%","-0.90%","3.53%","6.38","158.76","149.42","36.55","50.00%","-"
"Gloster","https://scanx.trade/company/gloster-ltd","637.65","1.13%","630.55","997","690.00","-367.05","24.04","830.00","532.95","-4.10%","-7.48%","-11.89%","-30.53%","-30.53%","0.64","3.15%","2.19%","1.45%","7.40","656.96","644.74","43.55","60.00%","-"
"RSWM","https://scanx.trade/company/rswm-ltd","139.12","-4.95%","147.87","64,235","689.40","-39.07","18.89","221.00","126.05","-15.13%","-17.34%","-30.80%","-31.75%","144.20%","0.51","-","9.33%","4.10%","-","152.49","158.09","33.05","50.00%","-"
"Jayant Agro Organics","https://scanx.trade/company/jayant-agro-organics-ltd","224.25","-2.34%","229.62","6,160","688.90","12.52","25.66","324.70","201.31","-7.19%","-14.62%","-22.81%","13.92%","142.69%","1.18","1.10%","9.63%","13.99%","17.59","239.49","250.37","36.26","50.00%","-"
"Hindustan Composites","https://scanx.trade/company/hindustan-composites-ltd","476.05","2.86%","465.05","16,469","683.50","20.66","79.58","647.95","401.75","-3.51%","-3.64%","-6.39%","45.92%","155.39%","0.64","0.42%","2.98%","3.94%","23.30","466.78","466.19","59.00","50.00%","-"
"Speciality Restaurants","https://scanx.trade/company/speciality-restaurants-ltd","138.79","-1.77%","142.70","82,036","681.50","34.67","327.73","174.00","114.41","9.18%","2.94%","-14.57%","-34.86%","298.25%","2.06","0.72%","34.99%","9.36%","6.25","129.75","133.66","54.06","50.00%","-"
"SIL Investments","https://scanx.trade/company/sil-investments-ltd","659.50","2.75%","680.95","3,94,992","680.10","19.52","24.21","910.00","430.00","12.78%","8.86%","2.55%","113.02%","378.42%","0.22","0.38%","-","1.18%","-","592.05","587.33","68.88","50.00%","-"
"Menon Bearings","https://scanx.trade/company/menon-bearings-ltd","119.73","-0.99%","120.94","19,154","677.70","24.64","79.58","145.90","86.00","-7.78%","-5.58%","-3.56%","11.22%","196.36%","4.22","1.67%","24.45%","20.31%","4.14","127.78","115.85","36.66","50.00%","-"
"Manba Finance","https://scanx.trade/company/manba-finance-ltd","133.39","-1.02%","134.18","21,880","677.10","15.95","24.21","199.80","119.00","-4.42%","-5.75%","-20.31%","-12.39%","-12.39%","1.83","-","-","10.87%","-","137.35","140.31","40.98","50.00%","-"
"Indogulf Cropsciences","https://scanx.trade/company/indogulf-cropsciencesltd","104.78","-1.91%","107.80","1,63,131","675.40","21.04","-24.63","122.00","97.99","-3.25%","-9.52%","-5.05%","-5.05%","-5.05%","1.64","-","-","18.76%","-","107.12","-","47.65","-","-"
"Parsvnath Developers","https://scanx.trade/company/parsvnath-developers-ltd","15.31","-1.16%","15.49","1,79,105","674.10","-","8.61","27.39","12.31","9.67%","-32.20%","-24.69%","117.16%","512.40%","-0.36","-","-","10.32%","-","14.72","19.77","56.00","-","-"
"GFL","https://scanx.trade/company/gfl-gujarat-fluorochemicals-ltd","63.84","5.54%","68.00","25,50,244","664.50","-12.26","24.21","125.69","48.70","4.35%","-1.18%","-31.38%","-5.49%","-28.15%","0.28","-","-","-1.80%","-","61.08","63.04","62.94","50.00%","-"
"Mmp Industries","https://scanx.trade/company/mmp-industries-ltd","262.70","0.83%","260.00","19,607","661.90","30.16","0.49","390.90","218.00","-6.04%","-8.31%","-28.92%","63.68%","245.89%","2.06","0.57%","-","16.31%","-","272.57","271.04","41.29","50.00%","-"
"Divine Power Energy","https://scanx.trade/company/divine-power-energy-ltd","266.50","0.57%","266.50","7,500","661.60","233.77","20.31","282.25","92.05","6.84%","87.68%","132.65%","74.98%","74.98%","7.66","-","-","17.04%","-","194.41","148.67","69.16","-","-"
"Aptech","https://scanx.trade/company/aptech-ltd","113.70","-0.26%","114.40","77,155","661.60","31.77","29.25","211.08","107.00","-12.61%","-19.07%","-44.66%","-45.60%","35.18%","1.84","3.96%","-","13.79%","-","126.34","141.87","21.78","-","-"
"Cheviot","https://scanx.trade/company/cheviot-ltd","1,106.50","-2.21%","1,122.10","3,186","661.00","11.12","24.04","1,443.50","974.75","-7.94%","-5.85%","-14.60%","-4.18%","-4.00%","1.02","0.44%","11.09%","11.13%","131.37","1,181.45","1,138.56","31.62","50.00%","-"
"Asian Hotels (North)","https://scanx.trade/company/asian-hotels-north-ltd","335.00","-0.96%","338.00","10,475","658.00","-5.20","327.73","419.50","173.00","1.48%","-8.72%","66.59%","265.12%","560.10%","-2.73","-","-","-30.89%","-","329.26","346.79","52.43","-","-"
"Anlon Healthcare","https://scanx.trade/company/anlon-healthcare-ltd","126.97","2.57%","126.00","2,93,580","658.00","32.80","25.66","147.70","90.78","-1.62%","38.42%","38.42%","38.42%","38.42%","3.34","-","-","25.24%","-","-","-","61.49","-","-"
"Tejas Cargo","https://scanx.trade/company/tejas-cargo-india-ltd","280.00","2.38%","279.00","4,000","653.50","34.96","22.25","327.00","141.05","-8.20%","21.21%","66.67%","66.67%","66.67%","3.86","-","-","16.43%","-","280.71","-","45.64","-","-"
"MBL Infrastructures","https://scanx.trade/company/mbl-infrastructures-ltd","41.68","-2.43%","42.89","56,672","651.60","-9.57","0.52","69.98","32.51","-12.58%","-1.91%","-30.66%","119.37%","365.70%","0.65","-","-","10.41%","-","42.28","45.30","44.38","50.00%","-"
"Kilitch Drugs","https://scanx.trade/company/kilitch-drugs-india-ltd","373.25","0.23%","358.20","11,057","651.00","24.42","25.43","500.00","293.53","2.26%","-17.08%","16.52%","119.96%","273.59%","2.59","-","-","17.30%","-","374.68","372.83","57.33","-","-"
"Shivalik Rasayan","https://scanx.trade/company/shivalik-rasayan-ltd","407.90","-1.16%","414.00","35,915","650.00","33.17","-24.63","879.05","409.15","-16.39%","-31.43%","-28.64%","-49.57%","-57.28%","1.20","0.12%","7.12%","5.89%","7.65","470.68","589.92","26.69","50.00%","-"
"Accent Microcell","https://scanx.trade/company/accent-microcell-ltd","283.55","4.71%","269.00","51,000","649.60","20.58","55.26","324.00","180.00","8.35%","3.09%","3.13%","-9.98%","-9.98%","2.90","0.31%","-","22.28%","-","273.03","241.89","63.73","-","-"
"Polysil Irrigation Systems","https://scanx.trade/company/polysil-irrigation-systems-ltd","283.70","-1.66%","282.75","10,000","649.30","-345.98","35.39","289.05","14.25","32.57%","201.81%","860.07%","422.95%","422.95%","15.09","-","-","1.86%","-","204.27","83.90","81.14","-","-"
"Pakka","https://scanx.trade/company/yash-pakka-ltd","141.65","-1.85%","144.78","53,175","648.70","23.18","15.63","363.55","140.99","-16.88%","-33.43%","-53.27%","13.27%","13.27%","1.49","-","22.41%","9.93%","9.54","158.06","195.46","33.11","50.00%","-"
"Urja Global","https://scanx.trade/company/urja-global-ltd","12.23","-0.73%","12.32","9,17,568","647.40","245.00","53.11","20.34","10.87","-13.63%","-20.27%","-38.67%","7.28%","311.78%","3.67","-","-","1.13%","-","13.40","14.17","26.36","50.00%","-"
"Man Industries","https://scanx.trade/company/man-industries-ltd","397.85","-2.12%","402.60","3,62,367","646.70","18.45","11.46","468.00","201.55","-6.54%","-4.87%","24.60%","338.89%","572.04%","1.57","-","6.77%","17.17%","17.43","404.30","346.16","50.38","50.00%","60.00%"
"Zee Media Corporation","https://scanx.trade/company/zee-media-corporation-ltd","9.87","-4.36%","10.33","53,79,303","645.40","-5.24","13.36","23.00","10.26","-20.98%","-31.60%","-54.64%","-39.07%","124.32%","4.76","-","-","-34.19%","-","12.10","14.13","18.10","50.00%","-"
"Tolins Tyres","https://scanx.trade/company/tolins-tyres-ltd","160.14","-1.94%","161.65","1,97,958","645.20","16.21","35.78","259.20","107.72","-17.53%","-3.00%","-14.09%","-33.11%","-33.11%","1.95","-","-","16.93%","-","166.02","151.72","39.80","50.00%","-"
"IRIS Business Services","https://scanx.trade/company/iris-business-services-ltd","311.70","-0.10%","309.00","3,291","640.80","60.44","16.13","577.00","228.05","-3.36%","-20.43%","-11.23%","314.49%","97.72%","8.45","-","-","23.22%","-","330.66","354.65","39.84","-","-"
"Ganesh Benzoplast","https://scanx.trade/company/ganesh-benzoplast-ltd","86.92","-2.16%","88.90","88,877","639.60","15.69","22.25","151.65","85.37","-7.57%","-10.34%","-40.36%","-35.40%","-7.97%","1.16","-","15.23%","9.52%","8.67","92.53","108.85","39.12","50.00%","-"
"Sarveshwar Foods","https://scanx.trade/company/sarveshwar-food-ltd","5.18","-","5.18","2,07,94,921","636.50","20.72","19.84","11.25","5.16","-31.57%","-36.67%","-42.32%","168.39%","1,195.00%","1.40","-","3.70%","23.95%","0.17","7.01","7.05","22.81","60.00%","-"
"Ind Swift Laboratories","https://scanx.trade/company/ind-swift-laboratories-ltd","101.35","-3.12%","105.00","60,311","634.10","3.30","55.26","134.40","68.72","-3.82%","-5.42%","-20.12%","84.27%","108.11%","0.60","-","-","21.41%","-","101.94","97.28","47.45","-","-"
"Fusion Rs.5 PPD UP","https://scanx.trade/company/fusion-ltd","101.05","-1.89%","103.32","11,637","628.90","-","24.21","136.80","79.10","0.93%","-14.01%","5.10%","5.10%","5.10%","20.09","-","-","-","-","101.34","-","37.36","-","-"
"International Conveyors","https://scanx.trade/company/international-conveyors-ltd","97.47","-1.74%","99.20","2,29,230","628.70","5.54","22.25","114.54","61.20","1.54%","0.47%","3.32%","69.51%","33.06%","1.71","0.77%","13.36%","32.00%","9.84","95.15","83.69","46.65","50.00%","-"
"S Chand & Company","https://scanx.trade/company/s-chand-group-ltd","174.76","-1.77%","178.00","63,507","627.10","12.52","-194.93","257.90","156.91","-8.16%","-22.65%","-18.40%","-0.54%","170.74%","0.62","2.29%","6.37%","10.08%","14.76","191.20","201.27","32.66","50.00%","-"
"CSL Finance","https://scanx.trade/company/csl-finance-ltd","270.15","-1.80%","280.65","12,156","626.70","8.22","24.21","407.90","227.45","-11.08%","-16.21%","-31.87%","9.09%","17.76%","1.14","1.09%","12.59%","13.32%","30.11","293.26","296.64","32.70","50.00%","-"
"Panache Digilife","https://scanx.trade/company/panache-digilife-ltd","419.60","1.99%","419.60","27,442","626.50","87.60","18.50","472.15","159.60","58.13%","60.57%","110.85%","547.03%","831.41%","9.94","-","-","15.11%","-","314.36","265.10","64.04","-","-"
"OCCL","https://scanx.trade/company/occl-ltd","123.96","-1.03%","129.00","31,883","625.60","17.90","25.66","159.42","63.63","-11.72%","-13.03%","31.94%","31.94%","31.94%","1.56","1.21%","-","7.44%","-","132.96","106.40","37.79","-","-"
"Kriti Industries India","https://scanx.trade/company/kriti-industries-india-ltd","117.70","-0.76%","121.01","16,346","625.00","-56.92","35.39","224.00","90.44","-16.77%","-28.23%","-45.16%","30.56%","-0.93%","2.72","-","-","7.14%","-","137.91","134.10","30.08","-","-"
"Iris Clothings","https://scanx.trade/company/iris-clothings-ltd","32.86","0.06%","33.01","35,984","625.00","46.94","45.55","68.70","20.73","3.56%","4.78%","-49.81%","48.82%","352.62%","7.36","-","-","23.52%","-","32.34","28.83","52.21","-","-"
"Essar Shipping","https://scanx.trade/company/essar-shipping-ltd","29.62","-1.59%","30.84","1,90,810","623.00","0.84","28.07","41.95","21.50","11.98%","3.64%","-21.54%","246.43%","292.32%","-0.26","-","-","-77.75%","-","26.41","28.72","54.94","-","-"
"Mos Utility","https://scanx.trade/company/mos-utility-ltd","24.05","-3.61%","25.00","5,04,000","622.10","46.25","22.25","321.85","23.25","-55.30%","-90.76%","-92.02%","-78.99%","-78.99%","5.63","-","-","21.12%","-","24.93","26.41","46.35","-","-"
"Digispice Technologies","https://scanx.trade/company/digispice-technologies-ltd","26.14","-1.47%","26.53","64,375","619.90","-19.41","16.13","35.50","17.09","-16.41%","16.33%","-20.67%","3.12%","278.84%","2.82","-","-","22.26%","-","26.54","23.64","44.37","-","-"
"Commercial Syn Bags","https://scanx.trade/company/commercial-syn-bags-ltd","155.81","0.44%","153.55","2,08,448","619.70","29.87","13.27","159.50","58.11","1.11%","21.63%","145.29%","83.96%","83.96%","4.23","0.26%","-","16.55%","-","148.79","110.53","55.46","-","-"
"Rama Phosphates","https://scanx.trade/company/rama-phosphates-ltd","168.05","-4.00%","174.20","3,80,240","619.40","14.03","35.32","188.90","80.85","20.60%","14.51%","58.13%","15.54%","22.77%","1.84","0.15%","-","10.04%","-","148.61","121.53","57.08","-","-"
"Hardwyn India","https://scanx.trade/company/hardwyn-india-ltd","12.27","-3.00%","12.64","7,30,816","617.90","43.07","34.94","30.36","10.75","-9.18%","-11.60%","-56.04%","-5.18%","186.01%","1.50","-","-","4.06%","-","13.38","13.98","39.16","-","-"
"Hercules Hoists","https://scanx.trade/company/hercules-hoists-ltd","188.39","-1.86%","192.55","25,672","614.30","16.23","24.21","311.00","125.51","2.04%","-5.44%","-22.27%","-1.78%","676.87%","0.63","-","-","4.65%","-","173.70","177.32","53.71","-","-"
"Venus Remedies","https://scanx.trade/company/venus-remedies-ltd","451.90","-0.99%","456.35","19,732","610.10","11.28","25.43","567.80","270.25","2.53%","-18.25%","30.63%","123.11%","247.21%","1.08","-","-","12.41%","-","462.59","387.31","47.88","-","-"
"Mold-Tek Technologies","https://scanx.trade/company/mold-tek-technologies-ltd","204.31","-3.23%","211.14","1,15,422","608.20","76.99","22.13","231.15","109.95","22.86%","30.68%","-8.76%","128.41%","423.87%","5.01","0.48%","28.20%","13.86%","9.36","169.74","157.26","64.88","50.00%","-"
"Essen Specialty Films","https://scanx.trade/company/essen-specialty-films-ltd","231.65","-4.98%","243.50","1,33,200","605.60","43.06","35.39","757.25","228.00","-21.71%","-47.19%","-65.68%","57.59%","57.59%","4.23","0.43%","-","18.60%","-","337.14","451.79","29.54","-","-"
"GP Eco Solutions","https://scanx.trade/company/gp-eco-solutions-ltd","490.00","-4.13%","500.00","1,53,600","604.70","55.43","28.99","616.50","212.20","-12.69%","-3.25%","85.15%","24.44%","24.44%","8.39","-","-","23.86%","-","563.93","397.35","36.61","-","-"
"Hindustan Media Ventures","https://scanx.trade/company/hindustan-media-ventures-ltd","80.92","-1.39%","82.34","10,945","604.50","6.81","13.36","103.40","73.20","-5.73%","-9.85%","-11.92%","43.86%","74.96%","0.39","-","-2.75%","5.58%","0.56","85.03","85.87","38.04","50.00%","-"
"Foods & Inns","https://scanx.trade/company/foods-inns-ltd","81.34","-1.11%","82.70","36,441","603.80","14.19","19.84","137.88","76.00","-10.86%","-28.01%","-36.60%","-10.91%","-9.12%","1.11","0.37%","-","17.26%","-","90.21","97.51","26.33","-","-"
"Radiant Cash Management Services","https://scanx.trade/company/radiant-cash-management-services-ltd","56.62","0.19%","56.41","72,680","603.00","14.36","22.25","81.97","49.38","1.63%","-6.95%","-29.29%","-46.02%","-46.02%","2.21","4.42%","27.28%","23.96%","3.87","56.02","62.35","54.27","50.00%","-"
"Parin Enterprises ","https://scanx.trade/company/parin-furniture-ltd","534.50","-0.83%","534.90","2,000","599.30","86.07","22.25","560.00","311.65","8.31%","63.33%","53.15%","383.71%","805.93%","9.30","0.04%","-","15.64%","-","478.24","394.82","62.97","-","-"
"Bella Casa Fashion & Retail","-","449.00","0.34%","444.75","7,417","599.10","35.09","45.55","497.35","358.65","10.20%","6.52%","6.52%","6.52%","6.52%","4.03","0.44%","-","16.36%","-","409.78","-","64.80","-","-"
"Borana Weaves","https://scanx.trade/company/borana-weaves-ltd","219.44","-1.94%","221.20","78,076","596.30","13.88","38.24","267.00","211.00","-0.21%","-7.25%","-14.00%","-14.00%","-14.00%","2.53","-","-","42.94%","-","219.78","-","46.32","60.00%","-"
"Suratwwala Business Group","https://scanx.trade/company/sbglp.ltd","34.35","0.09%","34.32","19,342","595.20","48.11","0.52","142.44","24.95","5.47%","-22.32%","-74.17%","55.43%","55.43%","8.62","-","-","11.39%","-","36.32","54.38","47.21","-","-"
"RPP Infra Projects","https://scanx.trade/company/rpp-infra-projects-ltd","118.03","-1.56%","119.90","66,342","594.50","9.70","0.52","255.30","108.58","-19.13%","-13.53%","-39.41%","235.31%","199.42%","1.12","0.42%","-","17.89%","-","130.17","146.46","34.22","-","-"
"Emami Paper Mills","https://scanx.trade/company/emami-paper-mills-ltd","97.67","-0.29%","97.98","7,717","592.60","30.16","15.63","128.00","82.51","-6.83%","-4.24%","-13.25%","-40.23%","52.49%","1.15","1.64%","10.89%","8.11%","15.83","100.29","97.98","43.21","50.00%","-"
"Tracxn Technologies","https://scanx.trade/company/tracxn-technologies-ltd","54.00","-2.32%","55.90","3,88,139","587.90","-60.20","16.13","87.80","47.32","5.76%","-9.53%","-36.72%","-42.09%","-42.09%","8.84","-","55.44%","9.34%","0.68","51.48","57.84","61.75","50.00%","-"
"Pyramid Technoplast","https://scanx.trade/company/pyramid-technoplast-ltd","160.03","0.72%","159.80","34,510","584.50","21.83","13.27","258.99","134.91","-6.00%","-7.89%","-26.07%","-9.92%","-9.92%","2.36","0.31%","29.61%","13.52%","7.92","163.42","167.65","43.90","50.00%","-"
"Focus Lighting & Fixtures","https://scanx.trade/company/focus-lighting-fixtures-ltd","88.44","1.92%","87.00","1,16,264","583.60","71.90","28.99","144.00","63.78","-7.29%","-14.04%","-30.08%","133.91%","2,227.37%","4.24","-","-","13.50%","-","93.50","98.20","45.40","-","-"
"KN Agri Resources","https://scanx.trade/company/kn-agri-resources-ltd","229.35","-1.61%","236.95","25,600","582.70","15.48","8.75","310.00","172.60","7.93%","-11.77%","-18.97%","30.31%","57.09%","1.63","-","-","17.32%","-","222.72","232.68","57.50","-","-"
"Vertoz","https://scanx.trade/company/vertoz-ltd","68.60","0.45%","68.29","2,69,398","582.00","22.13","16.13","111.33","67.50","-15.96%","-26.01%","-21.25%","-21.25%","-21.25%","3.07","-","-","15.45%","-","77.92","97.40","33.56","-","-"
"Vinsys IT Services","https://scanx.trade/company/vinsys-it-services-ltd","392.00","-0.81%","390.05","3,000","580.10","19.15","29.25","475.00","300.00","-8.00%","9.82%","9.19%","80.15%","80.15%","4.39","-","60.58%","26.44%","15.61","395.14","386.91","47.32","-","-"
"RBZ Jewellers","https://scanx.trade/company/rbz-jewellers-ltd","145.41","0.35%","143.22","60,552","579.60","15.75","38.57","251.68","125.50","-0.53%","0.43%","-20.62%","38.49%","38.49%","2.37","-","-","24.66%","-","138.58","151.78","57.97","50.00%","-"
"Orbit Exports","https://scanx.trade/company/orbit-exports-ltd","202.56","-7.09%","210.00","58,060","578.00","14.10","38.24","306.29","138.70","6.62%","-4.97%","9.02%","26.17%","240.44%","1.80","-","-","18.28%","-","193.39","187.12","51.50","-","-"
"Consolidated Finvest & Holdings","https://scanx.trade/company/consolidated-finvest-holdings-ltd","177.23","-0.83%","181.74","10,080","577.70","1.58","24.21","249.00","160.00","-8.81%","-11.92%","-11.72%","28.33%","415.20%","0.36","-","29.77%","30.30%","132.99","189.23","192.36","35.07","50.00%","-"
"McLeod Russel","https://scanx.trade/company/mcleod-russel-ltd","58.00","5.00%","58.00","7,36,411","577.00","-2.76","61.69","56.59","26.28","55.12%","59.52%","86.62%","105.67%","193.67%","-3.32","-","-","-6.69%","-","40.69","37.17","77.48","-","-"
"Baheti Recycling Industries","https://scanx.trade/company/baheti-recycling-industries-ltd","557.70","0.26%","559.45","24,000","576.70","32.11","0.49","649.90","328.10","0.32%","-3.34%","44.76%","414.96%","414.96%","9.78","-","-","52.25%","-","561.97","525.34","47.52","-","-"
"Primo Chemicals","https://scanx.trade/company/primo-chemicals-ltd","23.58","-0.88%","23.99","46,237","576.50","30.40","26.32","31.39","22.79","-8.32%","-13.31%","-15.67%","-15.67%","-15.67%","1.61","-","-","7.58%","-","25.48","-","39.49","50.00%","-"
"Annapurna Swadisht","https://scanx.trade/company/annapurna-swadisht-ltd","274.75","5.17%","261.90","1,52,000","570.00","27.87","19.84","441.00","228.00","7.81%","-7.13%","-30.25%","65.86%","108.62%","2.00","-","11.95%","12.23%","7.47","257.84","293.59","64.63","-","-"
"Zodiac Energy","https://scanx.trade/company/zodiac-energy-ltd","373.60","-0.81%","376.90","6,621","569.60","28.33","22.13","620.00","318.80","-6.24%","-21.83%","-37.54%","164.12%","2,578.14%","12.39","-","-","17.44%","-","396.00","429.86","32.71","-","-"
"Highway Infrastructure","https://scanx.trade/company/highway-infrastructure-ltd","77.06","-2.86%","78.90","3,50,441","569.00","24.71","0.52","131.40","75.86","-9.68%","-36.18%","-36.18%","-36.18%","-36.18%","4.61","-","-","28.71%","-","-","-","27.88","-","-"
"Liberty Shoes","https://scanx.trade/company/liberty-shoes-ltd","332.00","-0.55%","336.00","54,726","568.90","46.30","30.90","569.60","276.00","-11.80%","-13.01%","-41.70%","-16.03%","130.40%","2.55","-","-","14.49%","-","330.73","377.26","47.08","-","-"
"Mazda","https://scanx.trade/company/mazda-ltd","278.95","-1.55%","283.35","14,736","567.40","20.47","-43.20","2,144.40","205.00","0.85%","-7.68%","-78.81%","-55.37%","157.24%","2.39","1.31%","-","14.21%","-","280.37","274.05","48.15","50.00%","-"
"Sutlej Textiles & Industries","https://scanx.trade/company/sutlej-textiles-and-industries-ltd","34.12","-1.13%","35.45","43,017","565.40","-6.47","18.89","77.85","32.50","-12.11%","-26.62%","-47.13%","-48.58%","20.14%","0.63","-","-","-3.75%","-","36.70","42.43","41.40","-","-"
"Moneyboxx Finance","-","169.50","-1.32%","171.26","15,828","561.80","-196.86","24.21","175.00","155.50","6.85%","6.85%","6.85%","6.85%","6.85%","2.38","-","-","7.26%","-","-","-","-","-","-"
"Tera Software","https://scanx.trade/company/tera-software-ltd","455.95","1.99%","455.95","5,580","559.30","51.62","16.13","493.75","71.55","4.68%","47.01%","439.39%","834.32%","1,543.06%","4.65","-","-","12.91%","-","380.35","275.31","59.75","-","-"
"SJ Logistics","https://scanx.trade/company/sj-logistics-india-ltd","356.75","-1.67%","360.00","44,750","554.80","9.74","22.25","725.00","350.00","-14.88%","-18.79%","-39.95%","94.15%","94.15%","2.60","-","-","27.87%","-","396.05","486.75","35.30","-","-"
"Kothari Products","https://scanx.trade/company/kothari-products-ltd","89.76","-3.10%","92.65","88,370","552.90","-6.86","34.94","222.00","60.91","-7.52%","4.96%","14.89%","53.88%","54.63%","0.49","-","-","-6.65%","-","83.53","81.33","52.43","-","-"
"Kronox Lab Sciences","https://scanx.trade/company/kronox-lab-sciences-ltd","151.45","1.80%","149.52","98,415","552.00","21.91","25.66","228.88","132.05","-10.55%","-21.19%","-10.45%","-4.94%","-4.94%","6.22","0.33%","32.20%","38.02%","5.69","163.31","165.65","36.50","60.00%","-"
"Vision Infra Equipment Solutions","https://scanx.trade/company/vision-infra-equip-sol-ltd","223.90","1.06%","221.55","36,000","546.00","16.05","34.94","249.90","111.95","2.31%","39.20%","33.75%","4.02%","4.02%","3.32","-","-","21.64%","-","194.05","166.29","57.23","-","-"
"Suraj","https://scanx.trade/company/suraj-ltd","290.55","-2.25%","290.05","2,438","545.90","52.30","11.46","530.40","284.70","-8.27%","-21.92%","-36.14%","-7.10%","-7.10%","4.07","0.51%","-","17.14%","-","320.36","380.70","32.06","-","-"
"Orient Paper & Industries","https://scanx.trade/company/orient-paper-and-industries-ltd","25.29","-1.63%","25.50","1,82,762","545.50","-37.79","15.63","45.50","20.82","-10.70%","-14.07%","-43.13%","-28.66%","54.21%","0.35","-","0.38%","-2.91%","-","27.53","27.73","34.01","50.00%","-"
"TPL Plastech","https://scanx.trade/company/tpl-plastech-ltd","67.79","-2.74%","70.80","45,273","543.70","21.71","13.27","115.37","60.01","-9.36%","-15.90%","-34.85%","78.07%","534.14%","3.61","1.46%","-","21.51%","-","74.35","80.96","24.44","50.00%","-"
"Transworld Shipping Lines","https://scanx.trade/company/shreyas-shipping-logistics-ltd","244.05","-0.99%","248.70","40,301","541.30","22.30","28.07","492.00","234.12","-6.07%","-10.95%","-33.47%","-33.47%","-33.47%","0.67","0.61%","24.05%","6.30%","-","255.25","286.91","40.66","50.00%","-"
"Advani Hotels & Resorts","https://scanx.trade/company/advani-hotels-resorts-ltd","58.25","-0.39%","58.18","28,069","540.60","21.42","327.73","74.40","52.29","-2.97%","-4.85%","-17.27%","43.72%","188.65%","6.62","3.26%","45.60%","40.12%","2.70","59.67","60.91","42.84","50.00%","-"
"Euro India Fresh Foods","https://scanx.trade/company/euro-india-fresh-foods-ltd","223.82","2.98%","227.50","16,081","539.00","102.20","19.84","292.05","167.75","-4.46%","-5.64%","13.02%","41.30%","137.22%","7.67","-","-","13.08%","-","232.49","213.21","44.99","-","-"
"Shri Ahimsa Naturals","https://scanx.trade/company/shri-ahimsa-naturals-ltd","226.70","-1.86%","225.00","81,600","538.90","24.14","25.66","246.95","126.50","-7.36%","36.16%","54.22%","54.22%","54.22%","3.42","-","-","19.32%","-","219.27","-","51.70","-","-"
"Supreme Power Equipment","https://scanx.trade/company/supreme-power-equipment-ltd","210.05","-2.33%","215.05","48,000","537.40","26.32","28.99","258.40","100.00","-1.22%","-4.13%","-12.48%","104.13%","104.13%","5.68","-","-","27.04%","-","206.21","173.73","50.00","-","-"
